generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
35,0.0,0.0,3.8745096688819967,0.8800359756762344,0.06628018794809912,0.08192106458995728,1.0,0.0,1.0,0.0,5622020.990412502,407.8542857142857,0,0.0,0.0,0.0,1098.9360584379624,148177.75685228498
36,0.0,0.0,3.8745096688819967,0.8800359756762344,0.06628018794809912,0.08192106458995728,1.0,0.0,1.0,0.0,5622020.990412502,407.8542857142857,0,0.0,0.0,0.0,1096.6967530366376,148740.82301160798
37,0.0,0.0,3.8745096688819967,0.8800359756762344,0.06628018794809912,0.08192106458995728,1.0,0.0,1.0,0.0,5614509.427353259,407.8542857142857,0,0.0,0.0,0.0,1090.8205763250612,148833.36380570324
38,0.0,0.0,3.8745096688819967,0.8800359756762344,0.06628018794809912,0.08192106458995728,1.0,0.0,1.0,0.0,5601484.831450431,407.8542857142857,0,0.0,0.0,0.0,1092.2370755232325,149521.62835269255
39,0.0,0.0,3.8745096688819967,0.8800359756762344,0.06628018794809912,0.08192106458995728,1.0,0.0,1.0,0.0,5588259.733776507,407.8542857142857,0,0.0,0.0,0.0,1088.4486434631249,149842.8618162019
40,0.0,0.0,3.419317616235653,0.9318606625772292,0.03464896332436719,0.03527534435381258,1.0,0.0,1.0,0.0,5588259.733776507,407.8542857142857,0,0.0,0.0,0.0,1093.4747773702954,150257.43681332227
41,0.0,0.0,3.419317616235653,0.9318606625772292,0.03464896332436719,0.03527534435381258,1.0,0.0,1.0,0.0,5579236.53675035,407.8542857142857,0,0.0,0.0,0.0,1091.8959955779467,150442.66704197918
42,0.0,0.0,3.419317616235653,0.9318606625772292,0.03464896332436719,0.03527534435381258,1.0,0.0,1.0,0.0,5579236.53675035,407.8542857142857,0,0.0,0.0,0.0,1091.9183390365056,150887.11183635713
43,0.0,0.0,3.419317616235653,0.9318606625772292,0.03464896332436719,0.03527534435381258,1.0,0.0,1.0,0.0,5579236.53675035,407.8542857142857,0,0.0,0.0,0.0,1089.310446258685,151024.47275331317
44,0.0,0.0,3.419317616235653,0.9318606625772292,0.03464896332436719,0.03527534435381258,1.0,0.0,1.0,0.0,5571877.643327999,407.8542857142857,0,0.0,0.0,0.0,1089.7330363809222,151651.53857602025
45,0.0,0.0,3.1091942352636024,0.8886817705448181,0.020225629780006017,0.01381785696765977,1.0,0.0,1.0,0.0,5557983.593613119,407.8542857142857,0,0.0,0.0,0.0,1089.9364559681655,151728.70564883322
46,0.0,0.0,3.1091942352636024,0.8886817705448181,0.020225629780006017,0.01381785696765977,1.0,0.0,1.0,0.0,5557983.593613119,407.8542857142857,0,0.0,0.0,0.0,1086.044148173815,152011.73518573385
47,0.0,0.0,3.1091942352636024,0.8886817705448181,0.020225629780006017,0.01381785696765977,1.0,0.0,1.0,0.0,5557983.593613119,407.8542857142857,0,0.0,0.0,0.0,1085.8691747097093,152381.00587712965
48,0.0,0.0,3.1091942352636024,0.8886817705448181,0.020225629780006017,0.01381785696765977,1.0,0.0,1.0,0.0,5557983.593613119,407.8542857142857,0,0.0,0.0,0.0,1081.2874044525186,152757.9083633974
49,0.0,0.0,3.1091942352636024,0.8886817705448181,0.020225629780006017,0.01381785696765977,1.0,0.0,1.0,0.0,5546502.091938766,407.8542857142857,0,0.0,0.0,0.0,1078.2599442933918,153033.75209581933
50,0.0,0.0,2.7920822154512903,0.8252605249737334,0.020646554511338268,0.04198362139516053,1.0,0.0,1.0,0.0,5539498.295748216,407.8542857142857,0,0.0,0.0,0.0,1073.0904477671866,153135.89321552363
51,0.0,0.0,2.7920822154512903,0.8252605249737334,0.020646554511338268,0.04198362139516053,1.0,0.0,1.0,0.0,5530642.101347968,407.8542857142857,0,0.0,0.0,0.0,1069.8269555148313,153276.95977935154
52,0.0,0.0,2.7920822154512903,0.8252605249737334,0.020646554511338268,0.04198362139516053,1.0,0.0,1.0,0.0,5530642.101347968,407.8542857142857,0,0.0,0.0,0.0,1070.1165694893718,153576.71269032237
53,0.0,0.0,2.7920822154512903,0.8252605249737334,0.020646554511338268,0.04198362139516053,1.0,0.0,1.0,0.0,5530642.101347968,407.8542857142857,0,0.0,0.0,0.0,1068.0235342097724,153904.04624339152
54,0.0,0.0,2.7920822154512903,0.8252605249737334,0.020646554511338268,0.04198362139516053,1.0,0.0,1.0,0.0,5525337.6294430755,407.8542857142857,0,0.0,0.0,0.0,1067.66452582624,153715.7042283338
55,0.0,0.0,2.5416549322852395,0.8371612075804529,0.022819705502469714,0.06573421311709848,1.0,0.0,1.0,0.0,5503904.398312804,407.8542857142857,0,0.0,0.0,0.0,1066.3456638319074,153990.51238510708
56,0.0,0.0,2.5416549322852395,0.8371612075804529,0.022819705502469714,0.06573421311709848,1.0,0.0,1.0,0.0,5502926.442270981,407.8542857142857,0,0.0,0.0,0.0,1058.5845166744964,154104.14763326684
57,0.0,0.0,2.5416549322852395,0.8371612075804529,0.022819705502469714,0.06573421311709848,1.0,0.0,1.0,0.0,5502926.442270981,407.8542857142857,0,0.0,0.0,0.0,1057.1965087657914,154327.71547850082
58,0.0,0.0,2.5416549322852395,0.8371612075804529,0.022819705502469714,0.06573421311709848,1.0,0.0,1.0,0.0,5502926.442270981,407.8542857142857,0,0.0,0.0,0.0,1054.9819226066725,154388.61409655132
59,0.0,0.0,2.5416549322852395,0.8371612075804529,0.022819705502469714,0.06573421311709848,1.0,0.0,1.0,0.0,5502926.442270981,407.8542857142857,0,0.0,0.0,0.0,1050.5322143662454,154375.6292307985
60,0.0,0.0,2.3752311948596594,0.8234236030001535,0.024611006727966508,0.07903847025380377,1.0,0.0,1.0,0.0,5502373.1805859655,407.8542857142857,0,0.0,0.0,0.0,1048.8328175044367,154586.36516547375
61,0.0,0.0,2.3752311948596594,0.8234236030001535,0.024611006727966508,0.07903847025380377,1.0,0.0,1.0,0.0,5501709.921519365,407.8542857142857,0,0.0,0.0,0.0,1043.7319629141425,154687.28653568018
62,0.0,0.0,2.3752311948596594,0.8234236030001535,0.024611006727966508,0.07903847025380377,1.0,0.0,1.0,0.0,5501709.921519365,407.8542857142857,0,0.0,0.0,0.0,1035.4376057498407,154733.23117994374
63,0.0,0.0,2.3752311948596594,0.8234236030001535,0.024611006727966508,0.07903847025380377,1.0,0.0,1.0,0.0,5498585.715081934,407.8542857142857,0,0.0,0.0,0.0,1027.1274355904113,154705.25164027867
64,0.0,0.0,2.3752311948596594,0.8234236030001535,0.024611006727966508,0.07903847025380377,1.0,0.0,1.0,0.0,5498585.715081934,407.8542857142857,0,0.0,0.0,0.0,1023.9284538912905,154908.0889570198
65,0.0,0.0,2.2868793201699886,0.818639083099248,0.008860584811746926,0.009170313041195638,1.0,0.0,1.0,0.0,5494141.499036666,407.8542857142857,0,0.0,0.0,0.0,1019.3228751344963,155089.00707803704
66,0.0,0.0,2.2868793201699886,0.818639083099248,0.008860584811746926,0.009170313041195638,1.0,0.0,1.0,0.0,5482606.368665616,407.8542857142857,0,0.0,0.0,0.0,1012.2297085115705,155167.8151593011
67,0.0,0.0,2.2868793201699886,0.818639083099248,0.008860584811746926,0.009170313041195638,1.0,0.0,1.0,0.0,5482606.368665616,407.8542857142857,0,0.0,0.0,0.0,1008.9014101989185,155423.30538710853
68,0.0,0.0,2.2868793201699886,0.818639083099248,0.008860584811746926,0.009170313041195638,1.0,0.0,1.0,0.0,5482511.349377568,407.8542857142857,0,0.0,0.0,0.0,1001.1813772374818,155543.72343307667
69,0.0,0.0,2.2868793201699886,0.818639083099248,0.008860584811746926,0.009170313041195638,1.0,0.0,1.0,0.0,5482511.349377568,407.8542857142857,0,0.0,0.0,0.0,999.2191065055678,155587.70046638433
70,4.824480700065986e-06,2.5980623678694974e-05,2.1935343992876932,0.8224226030868079,0.018060867808309254,0.06822381930095486,1.0,0.0,1.0,0.0,5481678.449462786,407.8542857142857,0,0.0,0.0,0.0,994.6740484698112,155882.6025817961
71,4.824480700065986e-06,2.5980623678694974e-05,2.1935343992876932,0.8224226030868079,0.018060867808309254,0.06822381930095486,1.0,0.0,1.0,0.0,5480839.2445771955,407.8542857142857,0,0.0,0.0,0.0,990.8107903983005,155894.8568714877
72,4.824480700065986e-06,2.5980623678694974e-05,2.1935343992876932,0.8224226030868079,0.018060867808309254,0.06822381930095486,1.0,0.0,1.0,0.0,5480294.929705181,407.8542857142857,0,0.0,0.0,0.0,990.7851865118654,155908.56239805292
73,4.824480700065986e-06,2.5980623678694974e-05,2.1935343992876932,0.8224226030868079,0.018060867808309254,0.06822381930095486,1.0,0.0,1.0,0.0,5479890.052384375,407.8542857142857,0,0.0,0.0,0.0,996.0349583414344,155644.8345942605
74,4.824480700065986e-06,2.5980623678694974e-05,2.1935343992876932,0.8224226030868079,0.018060867808309254,0.06822381930095486,1.0,0.0,1.0,0.0,5479890.052384375,407.8542857142857,0,0.0,0.0,0.0,986.3375876214033,155551.6838875339
75,0.0018968054529175825,0.008588247977047131,2.0776969833162884,0.8296713687137091,0.011310196120851377,0.018094027716996974,1.0,0.0,1.0,0.0,5479890.052384375,407.8542857142857,0,0.0,0.0,0.0,983.907401160596,155677.79443934542
76,0.0018968054529175825,0.008588247977047131,2.0776969833162884,0.8296713687137091,0.011310196120851377,0.018094027716996974,1.0,0.0,1.0,0.0,5479890.052384375,407.8542857142857,0,0.0,0.0,0.0,980.9575456671402,155888.97992287835
