generation,HV_norm_mean,HV_norm_std,IGD_plus_mean,IGD_plus_std,Spacing_mean,Spacing_std,FeasRatio_soft_mean,FeasRatio_soft_std,FeasRatio_strict_mean,FeasRatio_strict_std,MinCost_bestrun,MinTime_h_bestrun,boost_triggered_bestrun,vio_miss_alloc_mean,vio_miss_tt_mean,vio_cap_excess_mean,vio_late_teu_h_mean,vio_wait_teu_h_mean
66,0.01905885603105139,0.06261138129388637,1.577707702679057,0.49634913464208535,0.017153728741822694,0.05346169290828299,1.0,0.0,1.0,0.0,5406805.2343425425,407.8542857142857,0,0.0,0.0,0.0,1301.6072280897038,148855.90736341994
67,0.01905885603105139,0.06261138129388637,1.577707702679057,0.49634913464208535,0.017153728741822694,0.05346169290828299,1.0,0.0,1.0,0.0,5406805.2343425425,407.8542857142857,0,0.0,0.0,0.0,1300.180227774811,148751.81400192974
68,0.01905885603105139,0.06261138129388637,1.577707702679057,0.49634913464208535,0.017153728741822694,0.05346169290828299,1.0,0.0,1.0,0.0,5404233.9854178345,407.8542857142857,0,0.0,0.0,0.0,1295.7954733198244,148592.03395415904
69,0.01905885603105139,0.06261138129388637,1.577707702679057,0.49634913464208535,0.017153728741822694,0.05346169290828299,1.0,0.0,1.0,0.0,5400708.396424432,407.8542857142857,0,0.0,0.0,0.0,1299.6529710637417,148608.71165255544
70,0.02625057679889973,0.08043664013422522,1.4837262809908787,0.4836880771150935,0.007602973153413861,0.008669782340102596,1.0,0.0,1.0,0.0,5387262.768280221,407.8542857142857,0,0.0,0.0,0.0,1290.7931113543248,148515.22727534507
71,0.02625057679889973,0.08043664013422522,1.4837262809908787,0.4836880771150935,0.007602973153413861,0.008669782340102596,1.0,0.0,1.0,0.0,5387262.768280221,407.8542857142857,0,0.0,0.0,0.0,1288.8587068285763,148507.08766320854
72,0.02625057679889973,0.08043664013422522,1.4837262809908787,0.4836880771150935,0.007602973153413861,0.008669782340102596,1.0,0.0,1.0,0.0,5387262.768280221,407.8542857142857,0,0.0,0.0,0.0,1285.135768297722,148413.0618718683
73,0.02625057679889973,0.08043664013422522,1.4837262809908787,0.4836880771150935,0.007602973153413861,0.008669782340102596,1.0,0.0,1.0,0.0,5387262.768280221,407.8542857142857,0,0.0,0.0,0.0,1281.1997162016576,148569.38506968247
74,0.02625057679889973,0.08043664013422522,1.4837262809908787,0.4836880771150935,0.007602973153413861,0.008669782340102596,1.0,0.0,1.0,0.0,5387262.768280221,407.8542857142857,0,0.0,0.0,0.0,1274.5446689857274,148411.6466989215
75,0.03508097440079551,0.10054934162581124,1.4093895692871254,0.47252568945358003,0.005294243152441173,0.004380544539499533,1.0,0.0,1.0,0.0,5387250.995056332,407.8542857142857,0,0.0,0.0,0.0,1266.2146340234585,148365.3742840882
76,0.03508097440079551,0.10054934162581124,1.4093895692871254,0.47252568945358003,0.005294243152441173,0.004380544539499533,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1257.1586041066453,148399.08054784744
77,0.03508097440079551,0.10054934162581124,1.4093895692871254,0.47252568945358003,0.005294243152441173,0.004380544539499533,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1247.8739217911059,148331.74195895426
78,0.03508097440079551,0.10054934162581124,1.4093895692871254,0.47252568945358003,0.005294243152441173,0.004380544539499533,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1247.07315441631,148332.75360921302
79,0.03508097440079551,0.10054934162581124,1.4093895692871254,0.47252568945358003,0.005294243152441173,0.004380544539499533,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1233.9170204510474,148315.01529787676
80,0.04090205499701002,0.10745902143626483,1.3544598487787491,0.47522057649386673,0.024944586439891486,0.10343010694659925,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1232.5634197524953,148216.29488628544
81,0.04090205499701002,0.10745902143626483,1.3544598487787491,0.47522057649386673,0.024944586439891486,0.10343010694659925,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1226.504720476466,148184.69717681236
82,0.04090205499701002,0.10745902143626483,1.3544598487787491,0.47522057649386673,0.024944586439891486,0.10343010694659925,1.0,0.0,1.0,0.0,5379294.991000889,407.8542857142857,0,0.0,0.0,0.0,1220.2223480597156,148101.04714009122
